id,genre,track_name,artist_name,valence,energy,danceability,acousticness,instrumentalness,liveness,loudness,speechiness,tempo
74XzT6sJuCIw0Py539SNQR,acoustic,"A Girl, a Boy, and a Graveyard",jeremy messersmith,0.457,0.136,0.347,0.77,7.47e-05,0.133,-13.677,0.0346,178.821
6EGlya6vCQzo3PdutOJEJP,acoustic,Your Song,Calle Kristiansson,0.208,0.355,0.64,0.637,0.00012,0.108,-8.579,0.0292,127.874
2lFTzUnuGaWlWHJQokjRyb,acoustic,Blue Jeans,Lana Del Rey,0.488,0.837,0.558,0.418,0.0,0.0821,-4.405,0.0633,117.963
3zx0r0wtqxj6tlFL5PEWlq,acoustic,Unwritten (feat. Diamond White),Boyce Avenue,0.284,0.336,0.415,0.662,0.0,0.107,-6.26,0.0406,195.083
14rApQTKycs9gNg7hjm9m7,acoustic,White Blank Page,Mumford & Sons,0.299,0.398,0.324,0.212,3e-05,0.692,-9.811,0.0352,113.165
45OfPYbQJEMq0kvKY5Yk4u,acoustic,Fall At Your Feet,Various Artists,0.141,0.512,0.516,0.233,0.00343,0.126,-8.978,0.0273,100.493
76aadnUFFANRNDs6L3aqxw,acoustic,Through Glass,Stone Sour,0.434,0.753,0.545,0.0417,0.0,0.389,-4.618,0.036,105.754
2vO1wr5wIEHqQmY4jWbuhi,acoustic,Angel,Jack Johnson,0.357,0.0568,0.619,0.896,0.0967,0.114,-19.197,0.0433,176.279
2izoqbHZCGaoFOO8vcc1hK,acoustic,Boyfriend,Alex G,0.741,0.737,0.781,0.6,0.0,0.34,-5.337,0.213,93.077
3h7fGy7n9xhS1PupWW9vJ9,acoustic,We Are Young,Kurt Hugo Schneider,0.486,0.814,0.408,0.388,0.0,0.11,-4.26,0.0704,97.727
43XA2gfgLQGKfIumzQZNCF,acoustic,Art of Motion,Andy McKee,0.609,0.256,0.433,0.712,0.845,0.115,-14.628,0.047,126.0
1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372,0.592,0.964,0.15,0.0974,-12.04,0.043,180.068
6ixbshqPYUopboiy5g3kxd,afrobeat,Oleku,Various Artists,0.811,0.718,0.556,0.347,1.69e-06,0.259,-4.505,0.181,162.074
2SvfiubxYXtDEhuXpWFqJ4,afrobeat,M'bifé blues,Amadou & Mariam,0.405,0.46,0.686,0.821,0.271,0.112,-9.24,0.0338,118.513
6S1cd5F5cpflZq6bAXQmg1,afrobeat,Nomvula (After the Rain),Freshlyground,0.418,0.295,0.709,0.744,0.181,0.105,-11.755,0.0323,122.27
6NPVjNh8Jhru9xOmyQigds,afrobeat,Happy,Various Artists,0.962,0.757,0.652,0.286,0.0,0.0886,-6.819,0.153,159.911
5VAZqFBgO2KNRw6KXA7xMj,afrobeat,Weeping,Vusi Mahlasela,0.512,0.619,0.587,0.262,6.57e-06,0.0476,-7.907,0.032,79.975
6ma7kNoIMwE9OgMwVhL3JH,afrobeat,Sawt El-wahuch (Le Chant Des Fauves),Terakaft,0.432,0.458,0.521,0.488,0.00397,0.113,-10.468,0.0331,93.014
4tOeiJqj6vhXjkckN6T3X5,afrobeat,Never Believe You,Mavado,0.657,0.685,0.953,0.0849,0.0,0.206,-4.904,0.145,120.071
0380J5YBxBw1xtGdtC3wdE,afrobeat,Alama,Fatoumata Diawara,0.556,0.147,0.449,0.949,4.48e-06,0.105,-14.188,0.0574,81.743
5AKFwJXmrUmMvH53mvWp5l,afrobeat,Wasuze Otya?,Samite,0.66,0.25,0.608,0.892,0.00489,0.369,-20.316,0.0656,194.107
14fmbvjYLqRZEXz1VZdM2M,afrobeat,We Found Love,Rihanna,0.609,0.74,0.755,0.0225,0.00139,0.124,-4.951,0.0407,127.98
074FCBEJg8ZcSTCR2SBIbO,afrobeat,Shakara (Oloje),Fela Kuti,0.599,0.713,0.646,0.271,0.048,0.226,-6.626,0.0414,120.004
6OZkU6QsLT5gvOtPoxSNq9,afrobeat,You Bad,Wande Coal,0.802,0.744,0.738,0.427,0.0,0.0885,-6.354,0.0614,120.051
7j05qZv5fZc4drPs8lFHkc,afrobeat,This Little Light Of Mine / M'Lilo Vutha Mathanjeni / If You Ever Need The Lord,Soweto Gospel Choir,0.664,0.787,0.345,0.833,0.0,0.844,-6.032,0.188,91.347
3F7o4t1uwmrZwym5iNiGbV,afrobeat,Yangiluma Inkukhu (The Biting Chicken),Ladysmith Black Mambazo,0.739,0.347,0.379,0.955,0.0,0.125,-10.569,0.0901,92.724
1jIkbwboZBGhyC16T5j4gf,afrobeat,Tabara,Vieux Farka Touré,0.525,0.347,0.699,0.834,0.884,0.316,-9.217,0.0324,92.974
72659TbS0PicXU00Zn5IAd,afrobeat,Sebeke,Amadou & Mariam,0.304,0.42,0.396,0.0119,0.00561,0.372,-4.626,0.0627,134.778
6uUS2GsTLT0PCm55YNlLuZ,afrobeat,Vana-Va-Ndota,Ghorwane,0.829,0.802,0.65,0.387,5.45e-06,0.103,-6.881,0.17,89.958
4WJ9gxU84Kv9TSXWfGVpRC,afrobeat,Yori Yori,Bracket,0.948,0.793,0.675,0.486,0.0,0.108,-1.582,0.157,102.936
52sqUHimT5hjxbkE7DUfJQ,afrobeat,Makambo,Geoffrey Oryema,0.276,0.136,0.543,0.823,0.494,0.112,-21.081,0.0326,95.404
0WjBwFCJ9lFyPrNKAogEew,afrobeat,Iyo Djeli,Various Artists,0.836,0.734,0.593,0.488,7.13e-06,0.122,-5.867,0.0413,89.395
1MjdB0vutPGJCPLtJfYtC2,afrobeat,Wine Slow,Various Artists,0.425,0.557,0.615,0.693,0.0,0.16,-8.698,0.286,119.845
2U4kPiipwfc2oHmd0nGoj5,afrobeat,Dutty Love,Don Omar,0.899,0.873,0.742,0.232,1.17e-05,0.114,-3.373,0.082,90.004
5jpppsCfiupH7Ar5bxThow,afrobeat,Global Threat,Sierra Leone's Refugee All Stars,0.871,0.714,0.587,0.505,0.0006,0.572,-5.155,0.124,151.986
5J4qCKoXwuIBE9iG6KYiOb,afrobeat,Fa - Laay - Fanaan,Baaba Maal,0.964,0.904,0.825,0.683,0.0166,0.07,-10.09,0.0367,135.184
07O7ypl5bdCKUop3MW7N9F,afrobeat,Diarabi,Boubacar Traoré,0.531,0.455,0.579,0.883,0.644,0.311,-9.935,0.0282,108.915
5MLW8jzgAdr5pJxPl1qIMS,afrobeat,Ce N'est Pas Bon,Amadou & Mariam,0.734,0.712,0.721,0.639,0.000188,0.08,-3.813,0.027,116.056
6PLBnyRgcc22RTNgKqzhx1,afrobeat,Mulemba Xangola,Bonga,0.915,0.828,0.716,0.696,0.00156,0.142,-7.188,0.181,122.851
2pfHT1jlF2OaRaKYNjRfqs,afrobeat,Aluguntugui,Various Artists,0.78,0.837,0.899,0.0361,0.000981,0.248,-4.334,0.0761,132.006
5JetF2yqEh2GZBu5J5oe2t,afrobeat,Muchana (Zouk Love),Kanda Bongo Man,0.879,0.766,0.673,0.213,0.0168,0.4,-10.676,0.034,100.027
0bbGO0cX2RfWZMqo9R6Nl5,afrobeat,Ethiopia Tikdem,Cedric IM Brooks & The Light of Saba,0.735,0.586,0.839,0.0669,0.608,0.227,-9.195,0.0578,107.608
7CU9mgM4huOC03ACFkLlRJ,afrobeat,Loca (Featuring Dizzee Rascal),Shakira,0.848,0.877,0.802,0.147,7.76e-06,0.103,-4.01,0.063,112.042
5CFdHtJAlGttkKbAJjJEV7,afrobeat,Juru nani - feat. Kasse Mady Diabate,Bassekou Kouyate,0.925,0.59,0.691,0.595,0.251,0.093,-7.957,0.0346,137.491
1MN5gnxpy3GeSFoldiWwGu,afrobeat,Bissa,Fatoumata Diawara,0.735,0.701,0.755,0.616,0.00118,0.191,-8.408,0.0507,108.996
4aVuWgvD0X63hcOCnZtNFA,afrobeat,Hold the Line,TOTO,0.808,0.898,0.473,0.00783,0.0618,0.173,-4.797,0.0561,96.556
1LclSylnnHUKdrCZjS0V6M,afrobeat,Dirty Money,Antibalas,0.893,0.956,0.713,0.314,0.47,0.0539,-6.166,0.0429,112.75
7xefa61CMn5FZVmQQQfcuX,afrobeat,Mulatu,Mulatu Astatke,0.722,0.406,0.463,0.508,0.182,0.128,-15.143,0.0602,155.862
4BXSQd7fTTLGatAd6wcu4E,afrobeat,Million Pound Girl (Badder Than Bad) - Edit,Fuse ODG,0.734,0.938,0.605,0.0808,0.0,0.0569,-1.197,0.076,199.887
7a37qKKyo2ZrtuBxeaIMvw,afrobeat,Queen Bee,Toumani Diabaté,0.687,0.48,0.494,0.916,0.004,0.0886,-10.057,0.0339,164.021
4ewr2YZx2pXsxDTC4mWFob,afrobeat,Grazing In The Grass,Hugh Masekela,0.935,0.71,0.791,0.797,0.943,0.292,-6.604,0.0305,109.98
03yoYeU67nezCH7d0kTagR,afrobeat,We Are One,Various Artists,0.264,0.501,0.551,0.321,0.000262,0.221,-9.706,0.0303,81.674
7wxe44zkqshDfO3XRx9TE1,afrobeat,Oh Amadou - feat. Bertrand Cantat,Amadou & Mariam,0.547,0.706,0.549,0.0102,0.000394,0.214,-6.283,0.0329,131.965
1mDZpgKx9Xpg6ijl9DvdA6,afrobeat,Sa Golo,Boubacar Traoré,0.634,0.769,0.519,0.652,6.21e-05,0.957,-6.697,0.04,101.082
2wEKd4l4zJDfDFIxqDqex7,afrobeat,Ali's Here,Ali Farka Touré,0.777,0.884,0.472,0.131,0.584,0.0897,-7.667,0.0411,114.002
0SxRcBh6IgYmp6mzcPx0OR,afrobeat,Souba,Rokia Traoré,0.499,0.0979,0.604,0.963,0.000147,0.205,-11.43,0.0511,121.802
4HMatLN0QNCQjghsYt5wzg,afrobeat,Marabi,Mafikizolo,0.663,0.437,0.653,0.756,0.0222,0.243,-6.199,0.0284,142.978
4ADxDfrGrTw6D1slX8wUVS,afrobeat,Redemption Song,Various Artists,0.572,0.529,0.68,0.678,0.0,0.379,-7.893,0.0508,116.042
6XZnsYLNd5TLmjiJ9xg9fU,afrobeat,Knockin On Heaven'S Door,Ladysmith Black Mambazo,0.736,0.46,0.627,0.415,9.8e-05,0.134,-10.424,0.102,68.57
4TaMW4NABBxR4wDyM5eidA,afrobeat,Windeck - Original Version,Cabo Snoop,0.182,0.865,0.803,0.261,0.0,0.126,-4.77,0.511,129.964
4d4mfz1H6PsC9QPr1w8rfD,afrobeat,Sedjedo,Angelique Kidjo,0.854,0.705,0.731,0.311,2.81e-05,0.157,-7.271,0.0558,100.452
6hOTreO6Wm7Con3alDgL2i,afrobeat,Mogo Te Diya Bee Ye,Oumou Sangaré,0.709,0.498,0.727,0.158,0.0,0.0899,-8.321,0.125,114.42
0E81UOGvTqck6jrS0QCOhF,alt-rock,Man On the Run,Bush,0.277,0.827,0.478,0.00891,1.41e-06,0.361,-5.378,0.0387,157.825
3OshgPVuRWWArOBU6NPBFr,alt-rock,Cleopatra,Sloan,0.939,0.829,0.607,0.0117,0.000362,0.0925,-4.708,0.0327,154.047
6DzrElyy0I3nqqInJRPXfz,alt-rock,Houston Hades,Stephen Malkmus & The Jicks,0.692,0.525,0.643,0.246,0.0112,0.098,-9.3,0.0305,92.738
3MWdMCAIFPzcIUdiEi8Pao,alt-rock,Marquee Moon - 2003 Remaster,Television,0.737,0.657,0.494,0.0632,0.449,0.0849,-7.543,0.0397,118.194
6nLaFcCxrTOpp1lcjJP2i7,alt-rock,You K(no)w,The Magic Numbers,0.298,0.519,0.335,0.112,0.000962,0.105,-8.801,0.0373,119.633
0jcqJ7xIUuirEbQFlhvOLm,alt-rock,Plowed,Various Artists,0.21,0.908,0.394,0.00348,0.000102,0.0912,-6.005,0.053,105.185
6b9TJfqcmgWLgXnJB2KLSr,alt-rock,What Do You Say,Filter,0.4,0.929,0.508,8.13e-05,0.00456,0.206,-5.598,0.0547,93.01
1M4Y4G5ipfQDYe5gbob4nQ,alt-rock,You Know My Name,Courtney Love,0.0603,0.989,0.472,0.000178,0.00999,0.188,-6.677,0.136,112.401
2HvZX5MAsV0R9eArKzPlt0,alt-rock,Short Skirt / Long Jacket,Various Artists,0.875,0.901,0.769,0.00381,0.0129,0.028,-5.653,0.0488,120.0
1ftipfHchfh3Ke8PnPCu0B,alt-rock,Undeniable,Better Than Ezra,0.966,0.787,0.702,0.107,0.0,0.129,-4.593,0.0258,91.988
6mH3sA9TMhgALjjWO0LXW2,alt-rock,1000hp,Godsmack,0.429,0.955,0.52,3.69e-05,6.58e-06,0.0284,-3.911,0.0492,92.067
72K2qTw5e61sTUKSB4nDOt,alt-rock,Every Morning,J Mascis,0.515,0.684,0.501,0.172,0.00842,0.113,-10.009,0.0405,121.095
4ryq4K6ZKg7MGptYlL7ES2,alt-rock,Jokerman,Various Artists,0.465,0.876,0.369,0.011,6.9e-06,0.328,-7.544,0.0526,142.314
5qy1QAKFVfAqYbgp46RSSv,alt-rock,Live to Rise,Various Artists,0.231,0.753,0.458,0.00129,0.00488,0.88,-4.98,0.038,83.939
0XZNTefzUSnFvGqVWO10Gc,alt-rock,Cannibal,Silversun Pickups,0.389,0.858,0.62,0.03,0.41,0.112,-6.53,0.145,128.869
0ttHpMs250dpFkCYAnuhnE,alt-rock,Good,Better Than Ezra,0.792,0.657,0.615,0.000372,0.0204,0.132,-6.873,0.029,109.95
0sU5GJV5VZqtKMEEW8LCVQ,alt-rock,I Want Wind To Blow,The Microphones,0.234,0.401,0.409,0.747,0.821,0.114,-15.152,0.073,111.479
4o7ZPI2fmEi3piRe0Hrfpy,alt-rock,Hey Jealousy,Gin Blossoms,0.497,0.797,0.471,0.000179,6.49e-06,0.299,-8.407,0.0389,152.903
0QXSKayRWtfxMKHJxVurkZ,alt-rock,Rebel Beat,The Goo Goo Dolls,0.63,0.879,0.493,0.00852,0.0,0.253,-4.029,0.0326,177.937
2qJkesdHu9sMMVFgkRkqhQ,alt-rock,Angel,Theory of a Deadman,0.452,0.844,0.443,0.00251,0.0,0.085,-5.414,0.0425,76.001
3JN8Emy2XVWWIuk7jJIWCR,alt-rock,She Walks,Poster Children,0.344,0.543,0.434,0.00924,9.83e-06,0.066,-10.06,0.0327,134.097
69O12Wz4e6bosZWiYajxQu,alt-rock,Not Over You,Kurt Hugo Schneider,0.395,0.405,0.493,0.874,0.0,0.108,-6.554,0.0448,138.04
1HYLJOB4lYI1wqDQOxlzSz,acoustic,Redemption Song,Bob Marley & The Wailers,0.698,0.259,0.666,0.585,0.0,0.079,-10.721,0.04,116.082
4Pl8ViAolRF4rK8QBMhKd9,acoustic,Angel,Sarah McLachlan,0.125,0.0744,0.532,0.949,1.22e-05,0.106,-16.092,0.0355,117.131
3xZMPZQYETEn4hjor3TR1A,acoustic,Cradlesong,Soap&Skin,0.218,0.16,0.43,0.935,0.011,0.319,-12.009,0.0326,82.864
5ZzaWzLT7KjRUhtMra8uJm,acoustic,Somebody To Love,Justin Bieber,0.636,0.839,0.719,0.00241,0.0,0.228,-5.235,0.0257,129.97
4I2GqMe7L2ccMpUbnDzYLH,acoustic,Chariot,Gavin DeGraw,0.344,0.779,0.281,0.0437,0.0,0.37,-5.104,0.0514,167.172
08kTO4EW0jb07zNsCNM83w,acoustic,Rivers and Roads,The Head And The Heart,0.161,0.194,0.494,0.699,2.98e-05,0.0803,-8.965,0.0352,135.753
4Q6Kuze3wNMQRjamyBjHUR,acoustic,Royals,Lorde,0.337,0.428,0.674,0.121,0.0,0.132,-9.504,0.122,84.878
2dLLR6qlu5UJ5gk0dKz0h3,acoustic,Riptide,Vance Joy,0.51,0.731,0.484,0.431,0.0,0.151,-6.694,0.0379,101.654
1KqlVt63Q4bl1VdSlymr5C,acoustic,Feel the Same,Joshua James,0.261,0.562,0.346,0.747,0.237,0.148,-9.289,0.0442,141.354
1LiteNBpuy5ltDtESG1rmr,acoustic,Slow Dancing in a Burning Room,John Mayer,0.29,0.361,0.667,0.575,0.00506,0.0805,-8.69,0.0273,134.018
4I1BlAeZK4UBSCKoaz8vQS,acoustic,Hurt,Johnny Cash,0.157,0.292,0.514,0.827,0.00223,0.0926,-11.768,0.0291,90.459
5VFzIzR8nACf9Bad4O73f6,acoustic,Further Away - Spotify - Rockfeedback Session,Ben Howard,0.253,0.348,0.503,0.732,0.0819,0.111,-15.054,0.0353,152.645
6dmeWjx2U5G3o5IlBzllVt,acoustic,Best Thing I Never Had (made famous by Beyoncé),Megan & Liz,0.382,0.11,0.601,0.849,0.0,0.25,-13.245,0.0618,142.68
0knqVSsgD7C8yu5yNmQFbA,acoustic,Everything'll Be Alright (Will's Lullaby),Joshua Radin,0.395,0.157,0.53,0.693,0.197,0.113,-18.86,0.0354,171.784
5ULhLmoyMiCyd3a2pQZYsw,acoustic,Clairvoyant,The Story So Far,0.137,0.352,0.387,0.859,0.0,0.135,-6.864,0.027,86.168
5jclmAX2XQp5G3b6K30UJl,acoustic,The Girl,City and Colour,0.303,0.159,0.499,0.936,0.000565,0.118,-16.154,0.0337,77.691
3AYZwgbpVWBjrWuIPortPb,acoustic,Sex On Fire,Alex Cornell,0.0568,0.408,0.476,0.844,0.111,0.125,-11.216,0.0305,90.055
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Boyfriend,Alex G,0.741,0.737,0.781,0.6,0.0,0.34,-5.337,0.213,93.077
38YgZVHPWOWsKrsCXz6JyP,acoustic,Home,Phillip Phillips,0.293,0.792,0.592,0.0215,0.0,0.159,-5.884,0.0335,121.001
2ZQyksYO4zzhyHNcueL0CP,acoustic,Hey There Delilah,Plain White T's,0.304,0.373,0.661,0.84,0.0,0.106,-8.169,0.0281,103.999
277Q2UaF8FeL7WNWQgzdlk,acoustic,The A Team,Ed Sheeran,0.407,0.289,0.642,0.669,0.0,0.18,-9.918,0.0367,84.996
1VdZ0vKfR5jneCmWIUAMxK,acoustic,Upside Down,Jack Johnson,0.65,0.655,0.787,0.238,0.000171,0.138,-8.339,0.0431,102.485
6shRGWCtBUOPFLFTTqXZIC,acoustic,Lucky,Jason Mraz,0.669,0.414,0.625,0.294,0.0,0.151,-8.7,0.0369,130.088
0IktbUcnAGrvD03AWnz3Q8,acoustic,Where Did You Sleep Last Night,Nirvana,0.344,0.565,0.559,0.668,0.000315,0.272,-8.534,0.0498,108.241
6HJujxcjMmVZhd8z5EpPri,acoustic,Daughters,John Mayer,0.503,0.413,0.674,0.836,1.95e-05,0.098,-7.816,0.0274,124.893
5FPnjikbwlDMULCCCa6ZCJ,acoustic,Perth,Bon Iver,0.0806,0.457,0.491,0.86,0.444,0.307,-14.473,0.0456,120.019
6oeuEHxwfbqu5xIJrcbPzN,acoustic,Skyscraper (feat. Megan Nicole),Boyce Avenue,0.427,0.337,0.441,0.405,0.0,0.106,-9.027,0.0558,207.914
0v913JHU9h91rxpuDUNJxR,acoustic,Old Pine,Ben Howard,0.226,0.358,0.419,0.458,0.0479,0.168,-10.749,0.033,128.764
0Qw7qGuXlVBZLcfoQ17yZn,acoustic,Tears in Heaven,Eric Clapton,0.312,0.242,0.498,0.835,0.536,0.133,-12.238,0.0257,153.744
7utRJ4BeYx85khzP3lKoBX,acoustic,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,0.646,0.371,0.758,0.743,0.0,0.175,-5.736,0.0352,95.994
1fRYJWQZw6IGZU6u3rpqBO,acoustic,Under löven,Melissa Horn,0.547,0.428,0.627,0.682,0.0513,0.103,-12.31,0.0511,90.652
1jJXixRlgZuqWlYwKM94Dz,acoustic,I Try,Macy Gray,0.782,0.637,0.559,0.304,0.000195,0.0783,-7.495,0.0321,152.885
00cP99zN0bsUZSpXbAlQXg,acoustic,"Welcome Home, Son",Radical Face,0.394,0.537,0.601,0.743,0.732,0.143,-9.464,0.0296,144.994
13PUJCvdTSCT1dn70tlGdm,acoustic,Heartbreak Warfare,John Mayer,0.311,0.554,0.624,0.191,0.00131,0.299,-8.113,0.0225,97.031
4gs07VlJST4bdxGbBsXVue,acoustic,Scene One - James Dean & Audrey Hepburn,Sleeping With Sirens,0.569,0.579,0.58,0.182,0.0,0.25,-6.219,0.0346,77.474
2Xt2ir0hgXtcfFlAx4rdu9,acoustic,Skinny Love,Birdy,0.169,0.29,0.379,0.952,0.00106,0.118,-8.485,0.051,166.467
4RL77hMWUq35NYnPLXBpih,acoustic,Billie Jean - Live,The Civil Wars,0.442,0.174,0.535,0.895,0.0,0.0999,-10.431,0.0712,92.997
2I2kwyKgiiig05zX4PCSlx,acoustic,Love Song,Sara Bareilles,0.573,0.786,0.583,0.0208,0.0,0.188,-3.142,0.0301,123.055
4E6cwWJWZw2zWf7VFbH7wf,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372,0.592,0.964,0.15,0.0974,-12.04,0.043,180.068
6rBgysDXImbq8b61tzVWSn,acoustic,Tainted Love,Various Artists,0.0724,0.239,0.635,0.192,0.0,0.13,-13.924,0.0434,62.466
4JjPLqECP5E48MXcEc2wzA,acoustic,Story of My Life,One Direction,0.286,0.663,0.6,0.225,0.0,0.119,-5.802,0.0477,121.07
4nVBt6MZDDP6tRVdQTgxJg,acoustic,Just The Way You Are,Bruno Mars,0.434,0.843,0.637,0.0151,0.0,0.0876,-5.413,0.0432,109.012
24lMtPOCzP5g4hrg3NklLa,acoustic,Umbrella,Train,0.627,0.849,0.552,0.00208,0.0,0.144,-3.996,0.0675,89.8
